
> warqandqlam@0.1.0 dev
> next dev

▲ Next.js 16.2.9 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.8.49:3000
✓ Ready in 665ms

 GET /products/products-page-pen-1 200 in 118ms (next.js: 4ms, generate-params: 19µs, application-code: 113ms)
 GET /products/products-page-pen-1 200 in 140ms (next.js: 5ms, generate-params: 19µs, application-code: 136ms)
 GET /products/products-page-pen-1 200 in 162ms (next.js: 26ms, generate-params: 18µs, application-code: 136ms)
 GET /products/products-page-pen-1 200 in 116ms (next.js: 10ms, generate-params: 5ms, application-code: 106ms)
 GET /products/products-page-pen-1 200 in 88ms (next.js: 10ms, generate-params: 23µs, application-code: 78ms)
 GET /products/products-page-pen-1 200 in 85ms (next.js: 5ms, generate-params: 19µs, application-code: 80ms)
 GET /products/products-page-pen-1 200 in 163ms (next.js: 4ms, generate-params: 19µs, application-code: 159ms)
 GET /products/products-page-pen-1 200 in 164ms (next.js: 5ms, generate-params: 23µs, application-code: 159ms)
 GET /products/products-page-pen-1 200 in 151ms (next.js: 5ms, generate-params: 20µs, application-code: 145ms)
 GET /products/products-page-pen-1 200 in 151ms (next.js: 31ms, generate-params: 29µs, application-code: 119ms)
 GET /products/products-page-pen-1 200 in 98ms (next.js: 6ms, generate-params: 23µs, application-code: 92ms)
 GET /products/products-page-pen-1 200 in 87ms (next.js: 4ms, generate-params: 22µs, application-code: 82ms)
 GET /products/products-page-pen-1 200 in 139ms (next.js: 5ms, generate-params: 55µs, application-code: 134ms)
 GET /products/products-page-pen-1 200 in 141ms (next.js: 4ms, generate-params: 17µs, application-code: 136ms)
 GET /products/products-page-pen-1 200 in 140ms (next.js: 5ms, generate-params: 26µs, application-code: 135ms)
 GET /products/products-page-pen-1 200 in 118ms (next.js: 5ms, generate-params: 22µs, application-code: 112ms)
 GET /products/products-page-pen-1 200 in 119ms (next.js: 28ms, generate-params: 33µs, application-code: 90ms)
 GET /products/products-page-pen-1 200 in 96ms (next.js: 6ms, generate-params: 22µs, application-code: 91ms)
 GET /products/products-page-pen-1 200 in 92ms (next.js: 5ms, generate-params: 19µs, application-code: 87ms)
 GET /products/products-page-pen-1 200 in 58ms (next.js: 8ms, generate-params: 5ms, application-code: 50ms)
 GET /products/products-page-pen-1 200 in 26ms (next.js: 4ms, generate-params: 19µs, application-code: 22ms)
 GET /order/success 200 in 2.5s (next.js: 2.2s, application-code: 306ms)
 GET /order/success 200 in 65ms (next.js: 7ms, application-code: 58ms)
 GET /order/success 200 in 43ms (next.js: 4ms, application-code: 40ms)
✓ Compiled in 78ms
 GET /products/products-page-pen-1 200 in 179ms (next.js: 111ms, generate-params: 5ms, application-code: 68ms)
 GET /products/products-page-pen-1 200 in 84ms (next.js: 5ms, generate-params: 17µs, application-code: 79ms)
 GET /products/products-page-pen-1 200 in 53ms (next.js: 5ms, generate-params: 16µs, application-code: 48ms)
 GET /products/products-page-pen-1 200 in 53ms (next.js: 29ms, generate-params: 20µs, application-code: 25ms)
 GET /order/success 200 in 420ms (next.js: 175ms, application-code: 244ms)
 GET /order/success 200 in 48ms (next.js: 4ms, application-code: 44ms)
 GET /order/failed 200 in 912ms (next.js: 872ms, application-code: 41ms)
 GET /order/failed 200 in 47ms (next.js: 4ms, application-code: 43ms)
 GET /order/failed 200 in 50ms (next.js: 4ms, application-code: 45ms)
 GET /order/failed 200 in 42ms (next.js: 3ms, application-code: 38ms)
 GET /cart 200 in 72ms (next.js: 35ms, application-code: 37ms)
 GET /cart 200 in 53ms (next.js: 5ms, application-code: 48ms)
 GET /products 200 in 494ms (next.js: 199ms, application-code: 295ms)
 GET /products/products-page-pen-1 200 in 88ms (next.js: 11ms, generate-params: 6ms, application-code: 77ms)
 GET /cart 200 in 31ms (next.js: 5ms, application-code: 27ms)
 GET /products/products-page-pen-1 200 in 74ms (next.js: 13ms, generate-params: 6ms, application-code: 61ms)
 GET /products/products-page-pen-1 200 in 79ms (next.js: 10ms, generate-params: 7ms, application-code: 68ms)
 GET /products/products-page-pen-1 200 in 73ms (next.js: 13ms, generate-params: 8ms, application-code: 60ms)
 GET /products/products-page-pen-1 200 in 71ms (next.js: 12ms, generate-params: 7ms, application-code: 59ms)
 GET /products/products-page-pen-1 200 in 62ms (next.js: 11ms, generate-params: 7ms, application-code: 51ms)
✓ Compiled in 107ms
✓ Compiled in 79ms
✓ Compiled in 82ms
✓ Compiled in 100ms
 GET /cart 200 in 42ms (next.js: 5ms, application-code: 36ms)
